Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer
12-08-2022,Asia,CRM,Partner,Consumer,1868,8,548,Yes
13-08-2022,South America,ERP,Online,Business,9826,2,1169,Yes
14-08-2022,North America,Database,Online,Consumer,3824,4,1316,No
15-08-2022,North America,Database,Direct Sales,Consumer,2083,18,1701,No
16-08-2022,Europe,CRM,Online,Business,4200,13,1593,Yes
17-08-2022,North America,DevTools,Partner,Business,6179,15,1947,Yes
18-08-2022,Asia,DevTools,Direct Sales,Business,2214,2,1674,Yes
19-08-2022,Asia,Database,Online,Business,2985,10,948,No
20-08-2022,Asia,CRM,Online,Business,8560,2,1462,No
21-08-2022,Europe,DevTools,Direct Sales,Consumer,9990,12,1508,No
22-08-2022,Asia,CRM,Direct Sales,Consumer,3250,5,1997,No
23-08-2022,North America,CRM,Online,Business,1574,12,708,Yes
24-08-2022,South America,Database,Partner,Consumer,7952,1,787,No
25-08-2022,South America,Database,Direct Sales,Consumer,6045,2,733,No
26-08-2022,Australia,Antivirus,Partner,Business,1094,16,1384,No
27-08-2022,North America,DevTools,Online,Consumer,9473,2,703,Yes
28-08-2022,Asia,DevTools,Partner,Consumer,873,16,1484,Yes
29-08-2022,South America,DevTools,Online,Business,6291,16,1706,No
30-08-2022,North America,ERP,Online,Business,4297,6,1149,No
31-08-2022,South America,CRM,Online,Consumer,5611,13,1341,Yes
01-09-2022,Asia,Database,Online,Business,2211,12,1869,Yes
02-09-2022,South America,DevTools,Partner,Consumer,6912,10,1354,No
03-09-2022,Australia,Antivirus,Online,Business,9601,5,813,Yes
04-09-2022,Australia,DevTools,Online,Business,4638,8,1015,No
05-09-2022,South America,CRM,Partner,Business,5277,6,1295,Yes
06-09-2022,North America,CRM,Direct Sales,Business,2474,5,732,No
07-09-2022,North America,Database,Partner,Consumer,8929,6,1419,No
08-09-2022,North America,ERP,Partner,Business,9715,17,1999,No
09-09-2022,South America,Database,Partner,Business,7884,6,1479,No
10-09-2022,North America,DevTools,Online,Consumer,5473,17,1059,Yes
11-09-2022,Asia,Antivirus,Online,Consumer,9572,5,998,Yes
12-09-2022,Australia,Database,Online,Consumer,1623,17,1897,No
13-09-2022,Asia,ERP,Direct Sales,Consumer,4837,17,1807,Yes
14-09-2022,North America,Database,Online,Business,5422,13,1209,No
15-09-2022,Asia,CRM,Direct Sales,Consumer,4970,7,1030,Yes
16-09-2022,North America,DevTools,Online,Business,8044,6,1566,No
17-09-2022,South America,DevTools,Partner,Consumer,6737,14,972,Yes
18-09-2022,Asia,DevTools,Online,Business,1354,16,679,Yes
19-09-2022,South America,DevTools,Direct Sales,Consumer,3530,3,965,Yes
20-09-2022,South America,DevTools,Direct Sales,Business,3457,9,1151,Yes
21-09-2022,Europe,DevTools,Online,Business,5700,15,883,No
22-09-2022,North America,Antivirus,Partner,Consumer,2985,18,825,No
23-09-2022,Australia,ERP,Online,Business,1261,10,509,Yes
24-09-2022,North America,DevTools,Online,Business,6571,10,1446,Yes
25-09-2022,Australia,ERP,Online,Business,8525,3,1422,Yes
26-09-2022,North America,DevTools,Partner,Business,9323,1,782,Yes
27-09-2022,South America,Database,Direct Sales,Consumer,9729,3,1915,No
28-09-2022,Asia,DevTools,Partner,Business,7833,5,1114,Yes
29-09-2022,Asia,CRM,Direct Sales,Business,1483,7,538,Yes
30-09-2022,Europe,Antivirus,Direct Sales,Consumer,8546,3,830,Yes
01-10-2022,Australia,Database,Direct Sales,Consumer,4060,4,1538,Yes
02-10-2022,Australia,Database,Partner,Consumer,7326,17,802,Yes
03-10-2022,Australia,CRM,Online,Business,5360,3,581,Yes
04-10-2022,South America,DevTools,Online,Business,8303,4,1427,Yes
05-10-2022,Australia,Antivirus,Online,Consumer,4313,2,1278,Yes
06-10-2022,Asia,Database,Online,Business,712,14,1642,No
07-10-2022,South America,Antivirus,Online,Consumer,5613,5,1659,Yes
08-10-2022,North America,Database,Partner,Business,1796,2,1940,Yes
09-10-2022,Australia,DevTools,Partner,Consumer,9659,15,586,Yes
10-10-2022,Australia,Database,Partner,Business,5317,11,558,Yes
11-10-2022,North America,Database,Partner,Consumer,5580,10,1981,No
12-10-2022,Australia,ERP,Partner,Business,9082,1,1467,Yes
13-10-2022,North America,DevTools,Partner,Consumer,6283,19,1573,No
14-10-2022,South America,CRM,Partner,Business,3097,14,645,No
15-10-2022,Asia,CRM,Online,Business,3031,14,605,No
16-10-2022,North America,DevTools,Direct Sales,Business,5066,1,740,No
17-10-2022,Europe,CRM,Partner,Consumer,8679,9,1141,Yes
18-10-2022,North America,DevTools,Direct Sales,Business,7968,17,665,No
19-10-2022,Australia,CRM,Partner,Business,9631,14,1170,No
20-10-2022,South America,ERP,Partner,Business,812,13,1342,Yes
21-10-2022,South America,CRM,Online,Consumer,2756,13,500,No
22-10-2022,North America,Database,Direct Sales,Business,894,6,671,No
23-10-2022,Asia,DevTools,Online,Consumer,7536,7,1063,No
24-10-2022,Europe,Antivirus,Online,Business,1494,2,580,No
25-10-2022,South America,Antivirus,Direct Sales,Consumer,1089,8,700,Yes
26-10-2022,Australia,DevTools,Online,Consumer,5661,6,848,No
27-10-2022,Australia,ERP,Partner,Business,4174,3,1144,Yes
28-10-2022,Asia,CRM,Partner,Consumer,7180,18,1572,Yes
29-10-2022,South America,ERP,Partner,Consumer,4921,18,699,Yes
30-10-2022,North America,Antivirus,Partner,Business,4311,6,1607,No
31-10-2022,Australia,DevTools,Partner,Consumer,4312,11,1783,No
01-11-2022,Asia,DevTools,Online,Consumer,8732,3,1477,Yes
02-11-2022,South America,ERP,Online,Consumer,4013,16,566,Yes
03-11-2022,South America,ERP,Partner,Consumer,3401,5,1161,Yes
04-11-2022,South America,CRM,Partner,Business,3451,2,1490,Yes
05-11-2022,South America,Database,Online,Consumer,2046,15,1968,Yes
06-11-2022,South America,Database,Direct Sales,Consumer,8621,16,1928,Yes
07-11-2022,Australia,CRM,Online,Business,1552,7,1094,No
08-11-2022,Asia,Database,Online,Business,9095,16,1424,No
09-11-2022,South America,Antivirus,Online,Consumer,2906,4,1836,No
10-11-2022,Europe,Database,Online,Business,9004,16,1747,Yes
11-11-2022,Europe,CRM,Online,Business,7929,17,1219,No
12-11-2022,Asia,Database,Direct Sales,Business,5862,2,892,Yes
13-11-2022,North America,DevTools,Partner,Business,6728,16,706,Yes
14-11-2022,North America,ERP,Partner,Business,3326,4,1232,No
15-11-2022,North America,Antivirus,Direct Sales,Business,5785,7,1584,Yes
16-11-2022,Europe,DevTools,Partner,Business,2995,18,1955,No
17-11-2022,North America,DevTools,Partner,Business,4083,6,1793,No
18-11-2022,Australia,CRM,Partner,Business,7670,18,806,No
19-11-2022,South America,ERP,Direct Sales,Consumer,2515,7,1580,Yes
20-11-2022,Europe,ERP,Direct Sales,Consumer,8405,2,934,Yes
21-11-2022,Asia,Antivirus,Partner,Consumer,3821,19,1525,Yes
22-11-2022,Asia,CRM,Partner,Consumer,5368,9,1499,No
23-11-2022,South America,Antivirus,Partner,Consumer,9425,4,909,Yes
24-11-2022,Europe,Database,Online,Business,6844,14,852,No
25-11-2022,North America,DevTools,Online,Business,6491,5,656,Yes
26-11-2022,North America,Antivirus,Online,Consumer,7145,7,576,No
27-11-2022,Australia,DevTools,Direct Sales,Consumer,9189,8,1788,No
28-11-2022,Australia,CRM,Partner,Business,2560,15,575,Yes
29-11-2022,North America,Database,Direct Sales,Consumer,6171,19,633,Yes
30-11-2022,Asia,CRM,Direct Sales,Business,4064,11,858,No
01-12-2022,Asia,Database,Direct Sales,Consumer,217,4,1831,No
02-12-2022,Australia,Database,Partner,Business,1340,18,999,Yes
03-12-2022,South America,DevTools,Online,Consumer,3317,14,788,No
04-12-2022,North America,CRM,Partner,Business,5693,6,1573,Yes
05-12-2022,Australia,CRM,Partner,Consumer,8827,16,979,Yes
06-12-2022,Australia,Antivirus,Direct Sales,Consumer,7932,18,1000,No
07-12-2022,North America,CRM,Direct Sales,Business,5578,1,1608,Yes
08-12-2022,North America,Antivirus,Direct Sales,Business,831,8,877,No
09-12-2022,Asia,ERP,Online,Consumer,2930,1,1845,Yes
10-12-2022,South America,ERP,Online,Consumer,3730,1,1342,No
11-12-2022,South America,ERP,Online,Business,6255,19,1307,Yes
12-12-2022,North America,CRM,Partner,Business,743,10,897,Yes
13-12-2022,Europe,CRM,Direct Sales,Business,5349,18,1753,No
14-12-2022,Australia,Antivirus,Partner,Consumer,9024,12,1359,Yes
15-12-2022,Australia,Database,Online,Consumer,7084,17,733,No
16-12-2022,North America,Antivirus,Direct Sales,Business,7991,1,809,No
17-12-2022,Europe,ERP,Online,Consumer,6849,8,1202,No
18-12-2022,Asia,Antivirus,Direct Sales,Consumer,2145,10,1669,No
19-12-2022,North America,Database,Direct Sales,Business,1194,10,1909,No
20-12-2022,North America,CRM,Partner,Consumer,8312,18,1495,Yes
21-12-2022,Australia,Antivirus,Partner,Business,6985,9,1259,Yes
22-12-2022,North America,ERP,Online,Business,5793,2,876,Yes
23-12-2022,North America,ERP,Partner,Consumer,1974,3,1509,Yes
24-12-2022,North America,CRM,Partner,Consumer,6073,2,1973,Yes
25-12-2022,Australia,Antivirus,Partner,Business,410,6,1214,Yes
26-12-2022,Asia,Database,Direct Sales,Business,1277,12,743,Yes
27-12-2022,Asia,CRM,Partner,Business,3188,19,655,No
28-12-2022,North America,Antivirus,Online,Consumer,4493,15,904,No
29-12-2022,Australia,DevTools,Direct Sales,Business,1294,19,1354,No
30-12-2022,Asia,ERP,Direct Sales,Business,1287,12,1920,Yes
31-12-2022,Asia,Database,Partner,Business,7286,18,949,No
01-01-2022,Asia,Database,Direct Sales,Business,5740,16,958,Yes
02-01-2022,Australia,Database,Online,Consumer,5384,2,1222,Yes
03-01-2022,Australia,ERP,Online,Consumer,4579,11,1878,Yes
04-01-2022,North America,Antivirus,Direct Sales,Business,9768,12,1129,No
05-01-2022,South America,CRM,Partner,Consumer,593,5,835,No
06-01-2022,Asia,Antivirus,Partner,Consumer,1888,6,745,No
07-01-2022,South America,CRM,Direct Sales,Consumer,6510,11,1186,Yes
08-01-2022,Australia,Database,Online,Business,1450,10,1701,Yes
09-01-2022,Australia,Antivirus,Direct Sales,Consumer,5935,4,937,Yes
10-01-2022,Australia,Database,Partner,Consumer,5721,9,1269,Yes
11-01-2022,South America,DevTools,Partner,Business,9713,12,1405,No
12-01-2022,Australia,Database,Direct Sales,Business,8846,10,1176,No
13-01-2022,North America,Database,Online,Consumer,9461,14,788,No
14-01-2022,Australia,CRM,Direct Sales,Consumer,1225,5,1883,No
15-01-2022,Europe,DevTools,Online,Business,8695,1,1348,Yes
16-01-2022,South America,Database,Online,Business,1378,5,1594,Yes
17-01-2022,Europe,Database,Direct Sales,Business,6366,16,1454,No
18-01-2022,Australia,DevTools,Direct Sales,Business,7229,5,1997,Yes
19-01-2022,North America,DevTools,Online,Consumer,1692,5,1184,Yes
20-01-2022,Asia,Antivirus,Online,Business,6363,18,1137,No
21-01-2022,Australia,CRM,Online,Consumer,619,6,1040,No
22-01-2022,North America,DevTools,Online,Consumer,3003,18,1042,Yes
23-01-2022,South America,DevTools,Partner,Consumer,9219,10,914,No
24-01-2022,Europe,ERP,Direct Sales,Business,1800,15,1971,No
25-01-2022,Europe,DevTools,Online,Business,746,11,1806,No
26-01-2022,Europe,CRM,Direct Sales,Consumer,4492,19,975,No
27-01-2022,South America,Database,Online,Consumer,8521,13,958,No
28-01-2022,North America,Database,Direct Sales,Consumer,859,3,655,No
29-01-2022,South America,Database,Direct Sales,Consumer,3620,16,1816,No
30-01-2022,Europe,Database,Online,Consumer,9008,7,1058,No
31-01-2022,Australia,ERP,Online,Business,1270,12,1359,No
01-02-2022,Asia,DevTools,Direct Sales,Business,3176,15,1851,Yes
02-02-2022,South America,Database,Direct Sales,Business,7806,8,1112,No
03-02-2022,South America,Antivirus,Direct Sales,Consumer,5478,17,1710,No
04-02-2022,North America,Database,Partner,Consumer,8340,1,1145,No
05-02-2022,North America,DevTools,Online,Business,1205,8,1551,Yes
06-02-2022,South America,Database,Partner,Business,9213,14,1147,No
07-02-2022,Europe,ERP,Partner,Consumer,9356,10,1089,No
08-02-2022,Asia,CRM,Online,Business,1638,19,1986,Yes
09-02-2022,North America,CRM,Online,Business,435,8,1419,Yes
10-02-2022,Europe,DevTools,Partner,Business,9899,19,1051,No
11-02-2022,Australia,CRM,Online,Consumer,4874,4,887,Yes
12-02-2022,North America,CRM,Direct Sales,Consumer,5764,10,560,Yes
13-02-2022,Europe,Antivirus,Direct Sales,Business,6197,3,1560,Yes
14-02-2022,Europe,DevTools,Partner,Consumer,7918,4,1058,Yes
15-02-2022,Asia,DevTools,Partner,Business,8139,16,1732,Yes
16-02-2022,Asia,CRM,Online,Business,2020,4,1046,No
17-02-2022,Australia,CRM,Online,Consumer,2443,13,1060,Yes
18-02-2022,Europe,CRM,Partner,Consumer,8781,17,1669,No
19-02-2022,Europe,ERP,Partner,Consumer,8213,16,1234,No
20-02-2022,Asia,Database,Direct Sales,Business,6214,17,1827,No
21-02-2022,North America,ERP,Direct Sales,Business,9948,6,1385,Yes
22-02-2022,North America,DevTools,Online,Business,7378,3,861,No
23-02-2022,South America,Antivirus,Direct Sales,Consumer,2237,4,1352,Yes
24-02-2022,Asia,Database,Online,Business,8482,8,506,No
25-02-2022,South America,Antivirus,Online,Business,4206,9,969,No
26-02-2022,Asia,DevTools,Online,Business,458,1,812,No
27-02-2022,Australia,DevTools,Direct Sales,Business,3282,13,1481,Yes
28-02-2022,Europe,Antivirus,Partner,Consumer,7659,2,704,No
01-03-2022,Australia,Antivirus,Partner,Consumer,9606,10,935,Yes
02-03-2022,Asia,Antivirus,Direct Sales,Consumer,2834,19,997,Yes
03-03-2022,Europe,DevTools,Partner,Business,2541,17,505,Yes
04-03-2022,North America,CRM,Online,Business,5680,13,570,No
05-03-2022,North America,Antivirus,Partner,Business,8136,14,967,No
06-03-2022,South America,Database,Direct Sales,Consumer,7491,11,834,No
07-03-2022,Asia,DevTools,Partner,Consumer,5644,10,675,No
08-03-2022,Asia,ERP,Online,Consumer,6351,7,731,Yes
09-03-2022,North America,ERP,Online,Consumer,2497,10,1753,No
10-03-2022,Australia,Database,Direct Sales,Consumer,4382,1,1525,Yes
11-03-2022,Europe,CRM,Direct Sales,Business,2628,14,1226,Yes
12-03-2022,Australia,Antivirus,Direct Sales,Consumer,8856,3,1863,No
13-03-2022,Australia,DevTools,Online,Consumer,1214,13,544,No
14-03-2022,North America,Antivirus,Partner,Consumer,6829,2,1017,Yes
15-03-2022,North America,DevTools,Partner,Business,2677,17,1735,Yes
16-03-2022,North America,ERP,Direct Sales,Consumer,4808,3,1442,No
17-03-2022,South America,Antivirus,Partner,Consumer,3064,15,1973,No
18-03-2022,Australia,Database,Partner,Consumer,3300,8,1917,No
19-03-2022,Asia,CRM,Direct Sales,Business,2678,6,755,Yes
20-03-2022,Europe,Database,Direct Sales,Business,7553,9,1958,Yes
21-03-2022,South America,CRM,Online,Consumer,3721,11,1918,No
22-03-2022,Asia,Antivirus,Online,Consumer,7291,2,1060,Yes
23-03-2022,Australia,Antivirus,Online,Consumer,4615,9,1974,Yes
24-03-2022,North America,CRM,Online,Consumer,5518,18,554,Yes
25-03-2022,Australia,ERP,Partner,Business,5479,19,1491,Yes
26-03-2022,Europe,DevTools,Partner,Consumer,9761,18,899,No
27-03-2022,South America,Database,Online,Business,3734,5,694,Yes
28-03-2022,South America,Database,Online,Consumer,2156,18,1366,No
29-03-2022,Europe,Database,Direct Sales,Business,9127,12,960,No
30-03-2022,Asia,Antivirus,Partner,Business,1831,4,1500,Yes
31-03-2022,Asia,Database,Partner,Consumer,8361,15,1310,No
01-04-2022,South America,DevTools,Online,Business,1587,11,1089,No
02-04-2022,South America,DevTools,Partner,Consumer,6621,19,773,No
03-04-2022,North America,CRM,Direct Sales,Business,1590,5,1402,Yes
04-04-2022,Asia,Antivirus,Direct Sales,Business,9239,6,1744,No
05-04-2022,Europe,DevTools,Partner,Consumer,5694,13,1400,Yes
06-04-2022,Asia,ERP,Online,Consumer,3360,10,1416,No
07-04-2022,North America,Antivirus,Partner,Business,1489,14,1268,No
08-04-2022,South America,Antivirus,Direct Sales,Business,3775,4,1082,No
09-04-2022,South America,DevTools,Online,Consumer,7080,12,1186,No
10-04-2022,North America,ERP,Partner,Consumer,3911,15,1984,Yes
11-04-2022,Europe,CRM,Online,Consumer,2536,10,1625,No
12-04-2022,South America,DevTools,Online,Business,5816,11,1146,No
13-04-2022,Australia,ERP,Direct Sales,Consumer,4236,9,1186,No
14-04-2022,South America,Antivirus,Online,Consumer,1741,11,1249,Yes
15-04-2022,Australia,ERP,Partner,Business,1624,2,1489,Yes
16-04-2022,North America,Antivirus,Online,Consumer,7104,13,1199,No
17-04-2022,North America,DevTools,Online,Consumer,9749,8,1529,No
18-04-2022,South America,DevTools,Partner,Consumer,2408,8,994,No
19-04-2022,Asia,Database,Direct Sales,Consumer,7754,1,1116,No
20-04-2022,Australia,Database,Direct Sales,Business,967,6,1796,Yes
21-04-2022,Europe,Database,Partner,Consumer,3878,13,993,Yes
22-04-2022,South America,DevTools,Partner,Consumer,5116,9,1947,Yes
23-04-2022,Europe,CRM,Direct Sales,Consumer,2761,6,759,No
24-04-2022,South America,DevTools,Online,Consumer,5343,15,863,No
25-04-2022,Asia,ERP,Partner,Consumer,8838,16,1196,No
26-04-2022,Asia,DevTools,Online,Consumer,9450,4,1696,No
27-04-2022,Asia,DevTools,Partner,Business,1096,17,1597,Yes
28-04-2022,Asia,Antivirus,Direct Sales,Business,2791,9,762,Yes
29-04-2022,North America,Antivirus,Online,Business,9793,12,855,Yes
30-04-2022,North America,Antivirus,Online,Consumer,2777,19,1363,No
01-05-2022,Australia,DevTools,Partner,Consumer,6958,12,943,No
02-05-2022,Europe,CRM,Online,Consumer,2609,6,1133,No
03-05-2022,South America,ERP,Partner,Business,3628,12,1230,No
04-05-2022,South America,ERP,Direct Sales,Consumer,1994,9,1391,No
05-05-2022,North America,CRM,Online,Business,8577,5,877,Yes
06-05-2022,South America,CRM,Partner,Consumer,8838,3,745,No
07-05-2022,North America,ERP,Online,Consumer,3039,2,1098,No
08-05-2022,Australia,Database,Partner,Business,8254,8,623,Yes
09-05-2022,Europe,Antivirus,Partner,Business,3647,10,1290,Yes
10-05-2022,Australia,Antivirus,Partner,Business,1080,15,1759,No
11-05-2022,Asia,ERP,Direct Sales,Business,7605,9,678,Yes
12-05-2022,Asia,CRM,Online,Business,6005,10,669,No
13-05-2022,Asia,Database,Direct Sales,Business,2816,11,620,No
14-05-2022,Australia,ERP,Partner,Consumer,2605,9,1772,Yes
15-05-2022,South America,Antivirus,Partner,Business,9759,14,621,No
16-05-2022,Europe,DevTools,Direct Sales,Consumer,8639,5,1975,No
17-05-2022,Asia,CRM,Direct Sales,Consumer,8117,9,1037,No
18-05-2022,Asia,DevTools,Online,Consumer,1367,4,993,Yes
19-05-2022,Asia,ERP,Partner,Consumer,7576,2,637,Yes
20-05-2022,Europe,Antivirus,Direct Sales,Consumer,2224,19,1378,Yes
21-05-2022,Asia,Database,Partner,Business,9776,1,1379,Yes
22-05-2022,Europe,DevTools,Partner,Business,616,1,1241,No
23-05-2022,Asia,Database,Online,Business,3586,12,967,Yes
24-05-2022,Australia,Antivirus,Online,Consumer,4344,11,1053,No
25-05-2022,Australia,DevTools,Online,Business,8260,1,981,Yes
26-05-2022,Europe,Database,Direct Sales,Consumer,7686,14,1139,Yes
27-05-2022,Australia,Database,Partner,Consumer,3812,11,1013,No
28-05-2022,Europe,DevTools,Direct Sales,Consumer,5699,7,1513,Yes
29-05-2022,Australia,Antivirus,Direct Sales,Consumer,8372,2,944,Yes
30-05-2022,Australia,Database,Online,Business,280,15,1026,No
31-05-2022,Europe,ERP,Partner,Business,8042,8,1153,Yes
01-06-2022,South America,DevTools,Partner,Business,9474,15,506,No
02-06-2022,Australia,CRM,Online,Business,417,8,1238,Yes
03-06-2022,Asia,CRM,Partner,Business,551,10,884,No
04-06-2022,South America,Antivirus,Online,Consumer,3511,19,584,Yes
05-06-2022,Europe,ERP,Direct Sales,Business,969,3,1867,No
06-06-2022,South America,Database,Direct Sales,Consumer,4845,14,984,Yes
07-06-2022,North America,CRM,Online,Consumer,7314,9,1139,No
08-06-2022,North America,Antivirus,Direct Sales,Consumer,5712,9,1741,Yes
09-06-2022,Australia,ERP,Direct Sales,Business,2045,6,750,Yes
10-06-2022,Australia,ERP,Online,Consumer,6583,8,1775,Yes
11-06-2022,Asia,Antivirus,Direct Sales,Consumer,6880,11,862,No
12-06-2022,South America,Antivirus,Partner,Business,9331,8,1384,No
13-06-2022,North America,Database,Direct Sales,Consumer,1553,12,1529,Yes
14-06-2022,Australia,Antivirus,Online,Consumer,6954,10,1858,Yes
15-06-2022,South America,Database,Partner,Consumer,9123,4,1411,Yes
16-06-2022,Australia,Database,Partner,Business,5065,16,1180,Yes
17-06-2022,Australia,DevTools,Direct Sales,Consumer,3682,6,1358,Yes
18-06-2022,North America,ERP,Partner,Consumer,1790,9,803,Yes
19-06-2022,North America,ERP,Online,Business,8681,5,1534,Yes
20-06-2022,Australia,ERP,Partner,Business,4003,6,780,Yes
21-06-2022,Europe,DevTools,Direct Sales,Consumer,9256,17,1336,Yes
22-06-2022,Australia,Database,Direct Sales,Business,8493,17,1471,Yes
23-06-2022,Australia,Database,Partner,Business,3829,13,1848,No
24-06-2022,Asia,Antivirus,Online,Business,5782,17,1175,No
25-06-2022,Asia,DevTools,Online,Business,369,14,1663,Yes
26-06-2022,Asia,Antivirus,Direct Sales,Business,2706,2,751,Yes
27-06-2022,Europe,DevTools,Direct Sales,Business,7132,19,734,Yes
28-06-2022,Europe,Antivirus,Online,Business,6811,3,1287,No
29-06-2022,Australia,CRM,Partner,Consumer,3598,2,1395,No
30-06-2022,Asia,ERP,Partner,Business,8105,2,1449,Yes
01-07-2022,Europe,ERP,Partner,Business,2435,7,1619,Yes
02-07-2022,North America,Database,Partner,Business,4667,4,942,Yes
03-07-2022,Australia,CRM,Online,Consumer,4778,17,1434,No
04-07-2022,South America,ERP,Direct Sales,Business,3474,6,782,No
05-07-2022,Australia,Database,Direct Sales,Business,9551,7,828,No
06-07-2022,South America,CRM,Partner,Consumer,6997,6,601,No
07-07-2022,Asia,ERP,Online,Business,5438,9,1621,Yes
08-07-2022,South America,Antivirus,Online,Consumer,5154,4,1260,Yes
09-07-2022,Asia,DevTools,Partner,Consumer,1677,5,857,Yes
10-07-2022,North America,CRM,Partner,Business,3785,19,1334,Yes
11-07-2022,South America,Database,Partner,Consumer,6760,10,1031,Yes
12-07-2022,Australia,CRM,Direct Sales,Business,9253,18,1756,No
13-07-2022,Asia,Database,Partner,Business,8183,15,1292,Yes
14-07-2022,Australia,CRM,Direct Sales,Consumer,3074,1,545,Yes
15-07-2022,Europe,Database,Online,Consumer,4396,5,1978,No
16-07-2022,Asia,ERP,Online,Business,921,5,611,Yes
17-07-2022,South America,Antivirus,Direct Sales,Business,1112,8,1544,Yes
18-07-2022,Asia,ERP,Direct Sales,Consumer,4755,15,1156,Yes
19-07-2022,Australia,Antivirus,Direct Sales,Business,5349,17,874,No
20-07-2022,North America,ERP,Direct Sales,Business,2714,19,1515,Yes
21-07-2022,Asia,ERP,Partner,Business,6464,13,689,No
22-07-2022,South America,CRM,Online,Consumer,7063,10,1787,No
23-07-2022,Europe,DevTools,Partner,Business,3061,17,876,No
24-07-2022,North America,Database,Direct Sales,Business,7608,5,1042,No
25-07-2022,Europe,Database,Partner,Business,2135,18,1449,Yes
26-07-2022,Asia,Database,Partner,Consumer,5488,17,502,No
27-07-2022,Australia,Antivirus,Online,Consumer,8062,4,1209,Yes
28-07-2022,Australia,Database,Partner,Consumer,5416,7,1841,No
29-07-2022,South America,Database,Online,Business,9089,5,1521,Yes
30-07-2022,Australia,CRM,Direct Sales,Consumer,679,8,1082,Yes
31-07-2022,North America,ERP,Partner,Business,5924,8,1491,Yes
01-08-2022,Australia,Database,Direct Sales,Consumer,5661,11,1905,Yes
02-08-2022,South America,DevTools,Online,Business,6637,9,782,Yes
03-08-2022,Asia,Database,Direct Sales,Consumer,8351,19,1298,Yes
04-08-2022,Asia,Antivirus,Direct Sales,Business,7286,19,852,Yes
05-08-2022,Australia,Antivirus,Online,Business,7924,9,1781,Yes
06-08-2022,Europe,Antivirus,Direct Sales,Consumer,2959,17,1582,Yes
07-08-2022,Asia,Database,Direct Sales,Business,3936,16,1702,Yes
08-08-2022,Australia,CRM,Direct Sales,Consumer,6305,7,1915,No
09-08-2022,South America,DevTools,Partner,Consumer,5579,3,848,Yes
10-08-2022,Australia,Database,Direct Sales,Business,9615,19,573,Yes
11-08-2022,Asia,CRM,Online,Business,1950,8,936,Yes
12-08-2022,South America,CRM,Partner,Consumer,3578,5,1099,No
13-08-2022,Australia,Database,Partner,Consumer,5770,6,1438,No
14-08-2022,North America,Database,Online,Consumer,8693,2,1697,Yes
15-08-2022,South America,CRM,Direct Sales,Business,9301,19,1025,Yes
16-08-2022,North America,CRM,Partner,Consumer,3427,13,1210,No
17-08-2022,Europe,CRM,Partner,Business,764,6,1678,Yes
18-08-2022,South America,Database,Partner,Business,4274,6,838,Yes
19-08-2022,North America,CRM,Direct Sales,Consumer,4004,2,826,No
20-08-2022,Asia,Antivirus,Partner,Consumer,9866,5,1384,No
21-08-2022,Asia,Database,Online,Business,4368,11,1154,Yes
22-08-2022,Europe,Antivirus,Direct Sales,Business,3127,11,1923,Yes
23-08-2022,South America,ERP,Online,Business,3717,14,1036,Yes
24-08-2022,South America,Database,Online,Business,4030,13,1639,No
25-08-2022,South America,ERP,Partner,Consumer,8233,8,1375,Yes
26-08-2022,Europe,CRM,Partner,Business,902,15,582,Yes
27-08-2022,South America,CRM,Partner,Consumer,3233,12,627,No
28-08-2022,Asia,DevTools,Online,Consumer,9667,3,805,Yes
29-08-2022,North America,CRM,Direct Sales,Consumer,1616,5,715,Yes
30-08-2022,Asia,ERP,Partner,Business,7452,6,994,Yes
31-08-2022,Asia,CRM,Partner,Business,3628,2,1368,Yes
01-09-2022,North America,Database,Online,Consumer,5860,8,1404,No
02-09-2022,Asia,CRM,Direct Sales,Consumer,1086,5,1382,No
03-09-2022,Europe,DevTools,Online,Consumer,3133,17,676,No
04-09-2022,North America,CRM,Partner,Consumer,5059,2,1400,Yes
05-09-2022,Asia,ERP,Online,Business,2394,11,1115,Yes
06-09-2022,Australia,ERP,Partner,Consumer,5465,4,1855,Yes
07-09-2022,Asia,CRM,Direct Sales,Business,2276,11,1868,Yes
08-09-2022,Europe,ERP,Online,Business,6536,9,1652,No
09-09-2022,South America,ERP,Partner,Business,9053,6,1555,Yes
10-09-2022,Asia,DevTools,Partner,Business,946,2,672,Yes
11-09-2022,South America,Database,Partner,Consumer,2244,15,627,Yes
12-09-2022,Australia,DevTools,Partner,Business,8460,5,1761,No
13-09-2022,Asia,Antivirus,Online,Consumer,6352,12,1141,Yes
14-09-2022,North America,DevTools,Partner,Business,879,13,1177,Yes
15-09-2022,South America,CRM,Online,Consumer,4915,17,1772,Yes
16-09-2022,Australia,Database,Partner,Consumer,2177,4,1432,Yes
17-09-2022,North America,CRM,Online,Consumer,2071,10,769,Yes
18-09-2022,North America,Antivirus,Online,Consumer,9412,1,817,No
19-09-2022,North America,Database,Partner,Consumer,7639,11,510,Yes
20-09-2022,North America,ERP,Partner,Business,6993,16,1566,Yes
21-09-2022,Asia,DevTools,Partner,Consumer,2465,11,1228,Yes
22-09-2022,Asia,CRM,Partner,Business,1274,9,1925,Yes
23-09-2022,Asia,Antivirus,Direct Sales,Consumer,8721,2,1571,Yes
